Announcements — คำถาม (นักศึกษาจะถาม) และคำตอบที่คาดว่าจะตอบ,,,,,
,,,,,
15,ข้อ 19 มีใจความสำคัญว่าอย่างไร?,ข้อ 19 ให้คณะกรรมการกลาง มีวาระการดำรงตำแหน่งสี่ปี ประกอบด้วย,"ข้อ 19 ระบุว่า ผู้สร้างผลงานมีหน้าที่ดังต่อไปนี้:
- ปฏิบัติตามจริยธรรม จรรยาบรรณทางวิชาการหรือวิชาชีพอย่างเคร่งครัด และไม่กระทำการใด ๆ ที่รู้อยู่แล้วหรือมีเหตุอันควรรู้ว่าเป็นการละเมิดผลงานของผู้อื่น
- แจ้งและเปิดเผยรายละเอียดการประดิษฐ์หรือรายละเอียดอื่นที่เกี่ยวข้องกับทรัพย์สินทางปัญญาผลงานวิจัยหรือนวัตกรรมต่อสำนักงานด้วยข้อมูลความจริง ถูกต้อง และครบถ้วน ตามแบบที่สำนักงานกำหนด โดยเสนอผ่านส่วนงานต้นสังกัด และให้ความช่วยเหลือสนับสนุนในการดำเนินการเพื่อให้สำนักงานพิจารณาดำเนินการบริหารจัดการทรัพย์สินทางปัญญาผลงานวิจัยหรือนวัตกรรมและการนำไปใช้ประโยชน์ตามความเหมาะสม
- รักษาข้อมูลที่เป็นความลับของมหาวิทยาลัยที่เกี่ยวข้องกับทรัพย์สินทางปัญญาผลงานวิจัยหรือนวัตกรรมให้เป็นความลับ ไม่ว่าข้อมูลนั้นจะพัฒนาโดยผู้สร้างผลงานเองหรือร่วมกับบุคคลอื่น การเปิดเผยข้อมูลดังกล่าวต้องได้รับอนุญาตจากมหาวิทยาลัยเป็นลายลักษณ์อักษร
**หมายเหตุ:** เอกสารไม่ได้กล่าวตรง ๆ ว่าข้อ 19 มีใจความสำคัญในแง่ใดนอกเหนือจากที่ระบุไว้ข้างต้น.",,
16,ข้อ 20 มีใจความสำคัญว่าอย่างไร?,ข้อ 20 ให้คณะกรรมการกลาง มีอำนาจหน้าที่ ดังต่อไปนี้,"ข้อ 20 ระบุว่า ผู้สร้างผลงานสามารถนำทรัพย์สินทางปัญญาผลงานวิจัยหรือนวัตกรรมของมหาวิทยาลัยไปดำเนินการดังต่อไปนี้ได้ เมื่อได้รับอนุญาตจากมหาวิทยาลัยก่อน ได้แก่
- ทำสัญญารับทุนวิจัย
- ทำสัญญารับบริการวิชาการ
- ทำสัญญารับจ้างวิจัยกับหน่วยงานภายนอก
- ดำเนินการขอรับความคุ้มครองตามกฎหมายทรัพย์สินทางปัญญา
- นำผลงานไปใช้ประโยชน์เชิงพาณิชย์",,
17,ข้อ 21 มีใจความสำคัญว่าอย่างไร?,ข้อ 21 นักศึกษากระทำการในกรณีต่อไปนี้ ให้ถือเป็นการกระทำโดยมีเจตนาทุจริตการสอบ,"คำถามว่า “ข้อ 21 มีใจความสำคัญว่าอย่างไร?” ไม่สามารถตอบได้จากบริบทที่ให้มา เนื่องจากเอกสารที่มีไม่ได้กล่าวถึง “ข้อ 21” เลย ทั้งในไฟล์ และ ไม่มีการอ้างถึงข้อ 21 แต่อย่างใด
**สรุป:**
เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงเกี่ยวกับข้อ 21.",,
18,บทลงโทษ/อำนาจลงโทษในข้อ 22 ระบุว่าอย่างไร?,ข้อ 22 ให้คณะกรรมกรกลางมีอำนาจพิจารณาโทษนักศึกษาที่ทำการทุจริตในการสอบ สถานใดสถานหนึ่งหรือหลายสถานก็ได้ ดังนี้,"คำถาม: บทลงโทษ/อํานาจลงโทษในข้อ 22 ระบุว่าอย่างไร?
**สรุปจากบริบท:**
ไม่มีข้อความใดในบริบทที่กล่าวถึง ""ข้อ 22"" เลย ทั้งในเอกสาร forms.txt/1, discipline2566_fulltext.txt/1 และ rule_exam2560.txt/1 มีการกล่าวถึงข้อ 26 ถึง 30 และข้อ 39 ถึง 44 เท่านั้น
**ดังนั้น:**
เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงเกี่ยวกับบทลงโทษ/อํานาจลงโทษในข้อ 22.",,
19,ข้อ 23 มีใจความสำคัญว่าอย่างไร?,ข้อ 23 นักศึกษากระทำการในกรณีต่อไปนี้ ไม่ถือเป็นการทุจริตในการสอบแต่ให้ถือเป็นการไม่ปฏิบัติตามระเบียบมหาวิทยาลัยฯ ว่าด้วยการสอบ,"คำถาม: ข้อ 23 มีใจความสำคัญว่าอย่างไร?
**สรุปจากบริบท:**
เอกสารที่ให้มาประกอบด้วยข้อ 1 ถึงข้อ 8 เท่านั้น ไม่มีข้อ 23 ปรากฏอยู่ในข้อความ
**คำตอบ:**
เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงเกี่ยวกับข้อ 23 เนื่องจากในบริบทไม่มีการกล่าวถึงข้อใดตั้งแต่ข้อ 9 เป็นต้นไป",,
20,บทลงโทษ/อำนาจลงโทษในข้อ 24 ระบุว่าอย่างไร?,ข้อ 24 ในการทดสอบย่อย หรือการกระทำอื่นใดที่ไม่เป็นไปตามข้อตกลงกับอาจารย์ผู้สอนในรายวิชาใด ให้อาจารย์ ผู้สอนเป็นผู้พิจารณาลงโทษอย่างใดอย่างหนึ่งหรือหลายอย่าง โดยความเห็นชอบของหัวหน้าภาควิชา ประธานหลักสูตร ประธานสายวิชา หัวหน้าสาขาวิชา ผู้กำกับและดูแลภาควิชาของเจ้าของรายวิชา ฯลฯ และรายงานให้คณะกรรมการวินัยนักศึกษาทราบ ดังต่อไปนี้,"คำถาม: บทลงโทษ/อํานาจลงโทษในข้อ 24 ระบุว่าอย่างไร?
**สรุปจากบริบท:**
ไม่มีข้อความใดในบริบทที่กล่าวถึง ""ข้อ 24"" เลย ทั้งในไฟล์ `discipline2566_fulltext.txt` และ `rule_exam2560.txt` มีการกล่าวถึงข้อ 26 ถึง 30 และข้อ 39 ถึง 44 เท่านั้น
**ดังนั้น:**
เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงเกี่ยวกับบทลงโทษ/อํานาจลงโทษในข้อ 24.",,
21,บทลงโทษ/อำนาจลงโทษในข้อ 25 ระบุว่าอย่างไร?,ข้อ 25 ในกรณีที่เกิดการกระทำการทุจริตหรือการกระทำที่ไม่ปฏิบัติตามระเบียบมหาวิทยาลัยฯ ว่าด้วย การสอบ รวมทั้งกระทำการที่ส่อไส่ในทางทุจริตในการสอบอื่น นอกจากที่ระบุไว้แล้ว หรือมีการกล่าวหาในภายหลัง การสอบเสร็จสิ้นแล้วว่าได้เกิดการกระทำการทุจริตขึ้นในการสอบครั้งใด ให้คณะกรรมการกลางเป็นผู้มีอำนาจ พิจารณาและลงโทษนักศึกษาที่กระทำความผิดในข้อ 21 และข้อ 23,"บทลงโทษ/อํานาจลงโทษในข้อ 25 ไม่ได้ระบุรายละเอียดเกี่ยวกับ ""บทลงโทษ"" หรือ ""อํานาจลงโทษ"" โดยตรงในบริบทที่ให้มา
อย่างไรก็ตาม จากข้อ 25.25 และ 25.26 ระบุว่า:
- คณะกรรมการวินัยนักศึกษาและผู้เรียนรู้ระดับหน่วยงานมีอำนาจพิจารณาลงโทษวินัย **ไม่ร้ายแรง** ได้ โดยหากเป็นโทษตัดคะแนนความประพฤติครั้งเดียวหรือหลายครั้งรวมกันไม่เกิน 25 คะแนน ให้หน่วยงานสั่งลงโทษเองและแจ้งสำนักงานกิจการนักศึกษาเพื่อบันทึกในฐานข้อมูล
- หากเป็นกรณีลงโทษวินัย **ร้ายแรง** ให้เสนอรายงานต่อคณะกรรมการวินัยระดับมหาวิทยาลัยเพื่อดำเนินการต่อ
ดังนั้น สรุปได้ว่า:
- คณะกรรมการระดับหน่วยงานมีอำนาจสั่งลงโทษวินัย **ไม่ร้ายแรง** โดยไม่เกิน 25 คะแนนตัดคะแนนความประพฤติ
- กรณีวินัย **ร้ายแรง** ต้องส่งต่อไปยังคณะกรรมการวินัยระดับมหาวิทยาลัยเพื่อพิจารณาลงโทษ
**หมายเหตุ:** เอกสารไม่ได้กล่าวตรง ๆ ถึงประเภทของบทลงโทษ เช่น ตักเตือน, ตัดคะแนน, ไล่ออก ฯลฯ แต่ระบุขอบเขตของอำนาจในการสั่งลงโทษตามระดับความร้ายแรงของความผิดเท่านั้น.",,
22,การอุทธรณ์คำสั่งลงโทษทำอย่างไรตามข้อ 26?,ข้อ 26 นักศึกษาผู้ถูกสั่งลงโทษตามระเบียบนี้ ผู้นั้นมีสิทธิอุทธรณ์ได้ตามหลักเกณฑ์และวิธีการที่กำหนดไว้ใน ระเบียบนี้,"ตามข้อ 27 ของบริบทที่ให้มา:
- การอุทธรณ์ต้องทำเป็นหนังสือ
- ต้องแสดงข้อเท็จจริงและเหตุผลในการอุทธรณ์ว่าตนเองถูกลงโทษโดยไม่ถูกต้อง ไม่เหมาะสม หรือไม่เป็นธรรม
- ต้องลงลายมือชื่อของผู้อุทธรณ์
นอกจากนี้ ยังระบุว่า:
- ต้องยื่นอุทธรณ์ต่ออธิการบดีภายใน 15 วันนับแต่วันได้รับแจ้งคำสั่งลงโทษ (ข้อ 28.1)
- การอุทธรณ์ทำได้เฉพาะตนเองเท่านั้น ห้ามอุทธรณ์แทนผู้อื่นหรือมอบหมายให้ผู้อื่นอุทธรณ์แทน (ข้อ 28.2)
ดังนั้น การอุทธรณ์คำสั่งลงโทษตามข้อ 26 จึงต้องทำเป็นหนังสือ ระบุเหตุผลและข้อเท็จจริง พร้อมลงชื่อ และยื่นต่ออธิการบดีภายใน 15 วันนับจากวันที่ได้รับคำสั่งลงโทษ โดยทำเองเท่านั้น",,
23,ระเบียบ ข้อ 27 กำหนดให้นักศึกษาต้องทำอะไร?,ข้อ 27 การอุทธรณ์ต้องทำเป็นหนังสือแสดงข้อเท็จจริงและเหตุผลในการอุทธรณ์ให้เห็นว่าตนเองถูกลงโทษโดยไม่ ถูกต้อง ไม่เหมาะสมหรือไม่เป็นธรรมอย่างใด พร้อมลงลายมือชื่อของผู้อุทธรณ์,เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงว่า ข้อ 27 ของระเบียบดังกล่าวกำหนดให้นักศึกษาต้องทำอะไร,,
24,การอุทธรณ์คำสั่งลงโทษทำอย่างไรตามข้อ 28?,ข้อ 28 นักศึกษาที่ถูกสั่งลงโทษตามระเบียนนี้อาจอุทธรณ์ได้ตามหลักเกณฑ์ดังนี้ 28.1 ให้ยื่นอุทธรณ์ต่ออธิการบดีภายในสิบห้าวัน นับแต่วันได้รับแจ้งคำสั่งลงโทษ 28.2 การอุทธรณ์คำสั่งลงโทษให้อุทธรณ์ได้สำหรับตนเองเท่านั้น จะอุทธรณ์แทนคนอื่นหรือมอบหมาย ให้คนอื่นอุทธรณ์แทนไม่ได้,"ตามข้อ 28 ของระเบียบดังกล่าว การอุทธรณ์คำสั่งลงโทษทำได้ดังนี้:
- ต้องยื่นอุทธรณ์เป็นหนังสือ โดยแสดงข้อเท็จจริงและเหตุผลว่าตนเองถูกลงโทษโดยไม่ถูกต้อง ไม่เหมาะสม หรือไม่เป็นธรรม
- ต้องลงลายมือชื่อของผู้อุทธรณ์เอง
- ต้องยื่นอุทธรณ์ต่ออธิการบดีภายในระยะเวลา 15 วันนับแต่วันที่ได้รับแจ้งคำสั่งลงโทษ
- การอุทธรณ์ทำได้เฉพาะตนเองเท่านั้น ห้ามอุทธรณ์แทนผู้อื่นหรือมอบหมายให้ผู้อื่นอุทธรณ์แทน
**หมายเหตุ:** เอกสารไม่ได้กล่าวตรง ๆ ถึงรูปแบบหรือตัวอย่างหนังสืออุทธรณ์ หรือขั้นตอนการส่งเอกสารเพิ่มเติมนอกเหนือจากที่ระบุไว้ในข้อ 28.1 และ 28.2",,
25,ระเบียบ ข้อ 29 กำหนดให้นักศึกษาต้องทำอะไร?,ข้อ 29 ให้อธิการบดีมีอำนาจบิจารณาวินิจฉัยอุทธรณ์หรือแต่งตั้งคณะกรรมการอุทธรณ์ขึ้นชุดหนึ่งเพื่อพิจารณา วินิจฉัยคำอุทธรณ์ กรณีที่เห็นด้วยกับคำอุทธรณ์ไม่ว่าทั้งหมดหรือบางส่วนก็ให้แก้ไขเปลี่ยนแปลงคำสั่งให้ ถูกต้องเหมาะสม แต่หากเห็นว่าคำสั่งลงโทษถูกต้องเหมาะสมแล้ว ให้ยกคำอุทธรณ์,"เอกสารที่ให้มาไม่ได้กล่าวถึง ""ข้อ 29"" อย่างชัดเจน และไม่มีข้อความยืนยันโดยตรงเกี่ยวกับเนื้อหาของข้อ 29 แต่อย่างใด
ดังนั้น สรุปได้ว่า:
**เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงเกี่ยวกับสิ่งที่ข้อ 29 กำหนดให้นักศึกษาต้องทำ**",,
26,การอุทธรณ์คำสั่งลงโทษทำอย่างไรตามข้อ 30?,ข้อ 30 ให้มีคณะกรรมการอุทธรณ์คณะหนึ่งจำนวนไม่น้อยกว่าห้าคน ประกอบด้วย รองอธิการบดี 1 คน เป็นประธานกรรมการ รองคณบดี 3 คน เป็นกรรมการ และนิติกร 1 คน เป็นกรรมการและเลขานุการ โดยให้มีวาระการดำรงตำแหน่งสองปี เมื่อคณะกรรมการอุทธรณ์ได้พิจารณาอุทธรณ์แล้วมีมติประการใด ให้รายงานต่ออธิการบดีและ แจ้งผู้อุทธรณ์ทราบโดยเร็ว,"คำถาม: การอุทธรณ์คำสั่งลงโทษทำอย่างไรตามข้อ 30?
**สรุปจากบริบท:**
- บริบทที่ให้มาไม่มีข้อ 30 ปรากฏอยู่
- ข้อที่เกี่ยวข้องกับการอุทธรณ์คือ **ข้อ 41 ถึง 44** ซึ่งระบุกระบวนการอุทธรณ์อย่างชัดเจน
**ข้อเท็จจริงที่สรุปได้จากบริบท:**
- นักศึกษาที่ถูกสั่งลงโทษตามข้อบังคับมีสิทธิอุทธรณ์ได้
- การอุทธรณ์ต้องยื่นต่อ **คณะกรรมการอุทธรณ์วินัยนักศึกษาและผู้เรียนรู้**
- ต้องยื่นภายใน **30 วัน** นับแต่วันที่ทราบคำสั่งลงโทษ
- การอุทธรณ์ต้องทำเป็น **หนังสือ** แสดงข้อเท็จจริงและเหตุผลว่าถูกลงโทษโดยไม่ถูกต้อง ไม่เหมาะสม หรือไม่เป็นธรรม
- ต้อง **ลงลายมือชื่อผู้อุทธรณ์เอง** โดยไม่สามารถมอบหมายให้ผู้อื่นอุทธรณ์แทนได้
- หากประสงค์จะแถลงด้วยวาจาในชั้นพิจารณา ต้องแจ้งไว้ในหนังสืออุทธรณ์หรือส่งหนังสือแจ้งแยกต่างหากให้ประธานกรรมการอุทธรณ์ก่อนมีคำวินิจฉัย
- หนังสืออุทธรณ์ต้องยื่นผ่าน **สำนักงานกิจการนักศึกษา**
- สำนักงานกิจการนักศึกษาจะส่งเรื่องให้คณะกรรมการอุทธรณ์ภายใน **39 วันทำการ** นับแต่วันที่ได้รับหนังสืออุทธรณ์
- คณะกรรมการอุทธรณ์มีอำนาจพิจารณาและต้องให้คำวินิจฉัยภายใน **39 วัน** นับแต่วันที่ประธานได้รับหนังสืออุทธรณ์ (อาจขอขยายเวลาได้ไม่เกิน 39 วัน ภายใต้เหตุผลที่สมควร)
**ข้อสรุป:**
เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงเกี่ยวกับ ""ข้อ 30"" เนื่องจากในบริบทไม่มีการกล่าวถึงข้อ 30 เลย ดังนั้นจึงไม่สามารถตอบตามข้อ 30 ได้
อย่างไรก็ตาม ข้อมูลที่เกี่ยวข้องกับการอุทธรณ์มีอยู่ใน **ข้อ 41 ถึง 44** ซึ่งระบุกระบวนการอุทธรณ์อย่างครบถ้วน",,
27,ข้อ 2 มีใจความสำคัญว่าอย่างไร?,ข้อ 2 ข้อบังคับนี้ให้ใช้บังคับตั้งแต่วันถัดจากวันประกาศเป็นต้นไป,"ข้อ 2 ของระเบียบสถาบันเทคโนโลยีพระจอมเกล้าธนบุรีว่าด้วยการกำหนดอัตราค่าบำรุงและค่าธรรมเนียมการศึกษา พ.ศ. 2540 มีใจความสำคัญว่า:
- ระเบียบนี้ให้ใช้บังคับกับนักศึกษาทุกหลักสูตรการศึกษาที่เริ่มเข้าศึกษาตั้งแต่ภาคการศึกษาที่ 1 ปีการศึกษา 2540 เป็นต้นไป
- รวมถึงนักศึกษาที่โอนมาจากสถาบันอุดมศึกษาอื่น ตั้งแต่ปีการศึกษา 2540 เป็นต้นไป",,
28,ข้อ 3 มีใจความสำคัญว่าอย่างไร?,ข้อ 3 ให้ยกเลิกข้อบังคับมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี ว่าด้วย วินัยนักศึกษา พ.ศ. 2546 บรรดา,"ข้อ 3 มีใจความสำคัญว่า:
- ระเบียบ คำสั่ง ประกาศ หรือมติอื่นใดที่มีอยู่แล้วในส่วนที่ขัดหรือแย้งกับระเบียบนี้ ให้ใช้ระเบียบนี้แทน
- หมายความว่า ระเบียบฉบับนี้มีอำนาจเหนือกว่าระเบียบหรือข้อบังคับอื่นที่เคยมีอยู่ก่อนหน้า ถ้ามีความขัดแย้งกัน",,
29,ข้อ 5 มีใจความสำคัญว่าอย่างไร?,ข้อ 5 ให้อธิการบดีรักษาการตามข้อบังคับนี้ และให้มีอำนาจตีความ วินิจฉัยปัญหาเกี่ยวกับการปฏิบัติตาม,"ข้อ 5 ของระเบียบสถาบันเทคโนโลยีพระจอมเกล้าธนบุรีว่าด้วยการกำหนดอัตราค่าบำรุงและค่าธรรมเนียมการศึกษาพ.ศ. 2540 มีใจความสำคัญดังนี้:
- สถาบันมีอำนาจเรียกเก็บค่าบำรุงและค่าธรรมเนียมการศึกษาจากนักศึกษาตามอัตราที่สภาสถาบันกำหนด โดยแบ่งตามรหัสการศึกษาและระดับการศึกษา
- ค่าธรรมเนียมที่เรียกเก็บมีดังนี้:
- **ค่าบำรุงและการศึกษาที่เรียกเก็บเป็นรายภาคการศึกษา** ได้แก่
(1) ค่าบำรุงการศึกษา
(2) ค่าบำรุงห้องสมุด
(3) ค่าบริการสุขภาพ
(4) ค่ากิจกรรมนักศึกษา
(5) ค่าใช้บริการคอมพิวเตอร์
- **ค่าธรรมเนียมการศึกษาที่เรียกเก็บครั้งเดียว** ได้แก่
(1) ค่าชิ้นทะเบียนเป็นนักศึกษา
- **ค่าธรรมเนียมการศึกษาที่เรียกเก็บเป็นรายภาคการศึกษา** ได้แก่
(1) ค่าลงทะเบียนรายวิชา
(2) ค่าลงทะเบียนวิชาวิทยานิพนธ์/การศึกษาพิเศษ/การศึกษาปัญหาวิจัย/โครงการศึกษาวิจัยการเรียนการสอนในห้องเรียน
(3) ค่ารักษาสถานภาพนักศึกษา
- **ค่าธรรมเนียมการศึกษาที่เรียกเก็บเป็นรายวัน** ได้แก่
(1) ค่าปรับในการดำเนินการล่าช้ากว่ากำหนดตามข้อ 5.2 (1), (2), (3)
(2) ค่าปรับในการชำระเงินล่าช้ากว่ากำหนดตามข้อ 5.2 (1), (2), (3)
- **ค่าธรรมเนียมการศึกษาที่เรียกเก็บเป็นครั้งคราว** ได้แก่
(1) ค่าลงทะเบียนสอบวิทยานิพนธ์
เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงเกี่ยวกับการเปลี่ยนแปลงข้อ 5 จากฉบับอื่น แต่ข้อความในบริบทแสดงถึงเนื้อหาของข้อ 5 อย่างครบถ้วนตามที่ระบุไว้ในระเบียบพ.ศ. 2540.",,
30,ระเบียบ ข้อ 6 กำหนดให้นักศึกษาต้องทำอะไร?,ข้อ 6 นักศึกษาและผู้เรียนรู้ต้องปฏิบัติตามข้อบังคับ ระเบียบ คำสั่ง ประกาศ ของมหาวิทยาลัยทุกประการ,"ข้อ 6 ของระเบียบสถาบันเทคโนโลยีพระจอมเกล้าธนบุรีว่าด้วยการกำหนดอัตราค่าบำรุงและค่าธรรมเนียมการศึกษาพ.ศ. 2540 กำหนดให้ **ค่าธรรมเนียมเบ็ดเตล็ดที่เรียกเก็บตามรายการที่เกิดขึ้น ให้อธิการบดีกำหนดอัตรา โดยความเห็นชอบของคณะกรรมการวิชาการและ/หรือคณะกรรมการบริหารสถาบันแล้วแจ้งให้สภาสถาบันทราบ** ซึ่งครอบคลุมรายการต่าง ๆ ดังนี้:
- ค่าสมัครสอบคัดเลือก
- ค่าตรวจโรค
- ค่าใบรายงานผลการศึกษา
- ค่าหนังสือรับรองทุกประเภท
- ค่าใบแปลปริญญาบัตร
- ค่าใบทะเบียนประจำตัวนักศึกษาหรือประกาศนียบัตรที่ชำรุดหรือสูญหาย
- ค่าบัตรประจำตัวนักศึกษาหรือใบแทน
- ค่าธรรมเนียมย้ายภาควิชาหรือสายวิชา
- ค่าประกันอุบัติเหตุ
- ค่าธรรมเนียมอื่น ๆ
**สรุป:** ข้อ 6 กำหนดให้นักศึกษาต้องจ่ายค่าธรรมเนียมเบ็ดเตล็ดที่เกิดขึ้นจริง ซึ่งอธิการบดีจะกำหนดอัตราตามความเห็นชอบของคณะกรรมการวิชาการและ/หรือคณะกรรมการบริหาร และแจ้งสภาสถาบันทราบ.",,
,,,,,
,,,,,
Curriculum — คำถาม (นักศึกษาจะถาม) และคำตอบที่คาดว่าจะตอบ,,,,,
,,,,,
ลำดับ,คำถาม,คำตอบที่คาดว่าจะตอบ,"คำตอบที่ระบบตอบ
รอบที่1","คำตอบที่ระบบตอบ
รอบที่2","คำตอบที่ระบบตอบ
รอบที่3"
1,หมวดวิชาศึกษาทั่วไปกำหนดกี่หน่วยกิต?,หมวดวิชาศึกษาทั่วไป 31 หน่วยกิต,"- หมวดวิชาศึกษาทั่วไปกำหนดจำนวนหน่วยกิตรวมทั้งสิ้น **6 หน่วยกิต**
โดยมีรายวิชาที่เกี่ยวข้อง เช่น LNG 107 การอ่านและการเขียนเชิงวิชาการ ซึ่งจัดอยู่ในหมวดวิชาบังคับเลือก และมีหน่วยกิต 3 หน่วยกิต พร้อมระบุว่า ""6 หน่วยกิตวิชาบังคับเลือกโดยรายวิชาต้องไม่อยู่ในกลุ่มวิชาเดียวกัน"" ซึ่งหมายถึงการกระจายหน่วยกิตในหมวดวิชาศึกษาทั่วไป
**หมายเหตุ:** บริบทไม่ได้กล่าวตรง ๆ ว่าหมวดวิชาศึกษาทั่วไปมีหน่วยกิตทั้งหมดกี่หน่วยกิตโดยตรง แต่จากการวิเคราะห์ข้อมูลในเอกสาร พบว่ามีการระบุว่า ""6 หน่วยกิตวิชาบังคับเลือก"" ซึ่งอยู่ภายใต้หมวดวิชาศึกษาทั่วไป และมีการกล่าวถึงกลุ่มวิชาอื่น ๆ เช่น สุขพลานามัย แต่ไม่มีข้อมูลเพิ่มเติมเกี่ยวกับหน่วยกิตของกลุ่มนั้นโดยตรง ดังนั้นจึงสรุปได้ว่าหมวดวิชาศึกษาทั่วไปมีหน่วยกิตรวมอย่างน้อย 6 หน่วยกิต ตามที่ระบุไว้ในบริบท.",,
2,หมวดวิชาเฉพาะกำหนดกี่หน่วยกิต?,หมวดวิชาเฉพาะ 93 หน่วยกิต,- หลักสูตรกำหนดหน่วยกิตรวม 130 หน่วยกิต,,
3,หลักสูตรวิศวกรรมคอมพิวเตอร์กำหนดหน่วยกิตรวมเท่าไร?,จำนวนหน่วยกิตรวมตลอดหลักสูตร 130 หน่วยกิต,- หลักสูตรกำหนดหน่วยกิตรวม 130 หน่วยกิต,,
4,วิชา CPE 100 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 100 การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร 3 หน่วยกิต (2-2-6) — Computer Programming for Engineers,"- ชื่อวิชา CPE 100 ภาษาอังกฤษ: **Computer Programming for Engineers**
- จำนวนหน่วยกิต: **3 หน่วยกิต**",,
5,วิชา CPE 101 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 101 เปิดโลกวิศวกรรมศาสตร์ 3 หน่วยกิต (2-2-6) — Engineering Exploration,"- ชื่อวิชา CPE 101 ภาษาอังกฤษคือ **Engineering Exploration**
- มีหน่วยกิตทั้งหมด **3 หน่วยกิต** (รูปแบบ 2-2-6)",,
6,วิชา CPE 111 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 111 คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์ 3 หน่วยกิต (2-2-6) — Discrete Mathematics for Computer Engineers,"- ชื่อวิชา CPE 111 ภาษาอังกฤษคือ **Discrete Mathematics for Computer Engineers**
- มีหน่วยกิตทั้งหมด **3 หน่วยกิต**",,
7,วิชา LNG 120 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,LNG 120 ภาษาอังกฤษทั่วไป 3 หน่วยกิต (3-0-6) — General English,"- ชื่อวิชาภาษาอังกฤษของ LNG 120 คือ **General English**
- มีหน่วยกิตทั้งหมด **3 หน่วยกิต**",,
8,วิชา MTH 101 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,MTH 101 คณิตศาสตร์ 1 3 หน่วยกิต (3-0-6) — Mathematics I,"- ชื่อภาษาอังกฤษของวิชา MTH 101 คือ **Mathematics I**
- มีหน่วยกิตเท่ากับ **3 หน่วยกิต**",,
9,วิชา PHY 103 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,PHY 103 ฟิสิกส์ทั่วไปสำหรับนักศึกษาวิศวกรรมศาสตร์ 1 3 หน่วยกิต (3-0-6) — General Physics for Engineering Student I,- หลักสูตรกำหนดหน่วยกิตรวม 130 หน่วยกิต,,
10,วิชา CPE 112 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 112 การเขียนโปรแกรมด้วยโครงสร้างข้อมูล 3 หน่วยกิต (2-2-6) — Programming with Data Structures,"- ชื่อวิชา CPE 112 ภาษาอังกฤษคือ **Programming with Data Structures**
- มีหน่วยกิตทั้งหมด **3 หน่วยกิต**",,
11,วิชา CPE 121 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,CPE 121 พื้นฐานวงจรไฟฟ้าและอิเล็กทรอนิกส์ 3 หน่วยกิต (2-2-6) — Basic Circuits and Electronics,"- ชื่อวิชา CPE 121 ภาษาอังกฤษ: **Discrete Mathematics for Computer Engineers**
- หน่วยกิต: **3 หน่วยกิต**",,
12,วิชา GEN 121 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,GEN 121 ทักษะการเรียนรู้และการแก้ปัญหา 3 หน่วยกิต (3-0-6) — Learning and Problem Solving Skills,"- ชื่อภาษาอังกฤษของวิชา GEN 121 คือ **Learning and Problem Solving Skills**
- จำนวนหน่วยกิตของวิชา GEN 121 คือ **3 หน่วยกิต**",,
13,วิชา LNG 220 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,LNG 220 ภาษาอังกฤษเชิงวิชาการ 3 หน่วยกิต (3-0-6) — Academic English,"- ชื่อวิชาภาษาอังกฤษของ LNG 220 คือ **Academic English**
- มีหน่วยกิตทั้งหมด **3 หน่วยกิต**",,
14,วิชา MTH 102 ชื่อภาษาอังกฤษว่าอะไร และมีหน่วยกิตเท่าไร?,MTH 102 คณิตศาสตร์ 2 3 หน่วยกิต (3-0-6) — Mathematics II,"- ชื่อวิชาภาษาอังกฤษของ MTH 102 คือ **Mathematics II**
- มีหน่วยกิตทั้งหมด **3 หน่วยกิต**",,
